Year,Event,Laps,Drivers
2018,Australian Grand Prix,940,20
2018,Bahrain Grand Prix,997,20
2018,Chinese Grand Prix,1115,20
2018,Azerbaijan Grand Prix,848,20
2018,Spanish Grand Prix,1021,20
2018,Monaco Grand Prix,1516,20
2018,Canadian Grand Prix,1219,20
2018,French Grand Prix,920,20
2018,Austrian Grand Prix,1244,20
2018,British Grand Prix,902,20
2018,German Grand Prix,1252,20
2018,Hungarian Grand Prix,1233,20
2018,Belgian Grand Prix,693,20
2018,Italian Grand Prix,927,20
2018,Singapore Grand Prix,1146,20
2018,Russian Grand Prix,948,20
2018,Japanese Grand Prix,977,20
2018,United States Grand Prix,932,20
2018,Mexican Grand Prix,1245,20
2018,Brazilian Grand Prix,1318,20
2018,Abu Dhabi Grand Prix,943,20
2019,Australian Grand Prix,1041,20
2019,Bahrain Grand Prix,1083,20
2019,Chinese Grand Prix,1046,20
2019,Azerbaijan Grand Prix,948,20
2019,Spanish Grand Prix,1276,20
2019,Monaco Grand Prix,1490,20
2019,Canadian Grand Prix,1312,20
2019,French Grand Prix,1037,20
2019,Austrian Grand Prix,1401,20
2019,British Grand Prix,914,20
2019,German Grand Prix,1059,20
2019,Hungarian Grand Prix,1358,20
2019,Belgian Grand Prix,787,20
2019,Italian Grand Prix,991,20
2019,Singapore Grand Prix,1165,20
2019,Russian Grand Prix,901,20
2019,Japanese Grand Prix,1005,20
2019,Mexican Grand Prix,1370,20
2019,United States Grand Prix,1032,20
2019,Brazilian Grand Prix,1385,20
2019,Abu Dhabi Grand Prix,1075,20
2020,Pre-Season Test 1,1052,20
2020,Pre-Season Test 2,1052,20
2020,Austrian Grand Prix,1052,20
2020,Styrian Grand Prix,1226,20
2020,Hungarian Grand Prix,1327,20
2020,British Grand Prix,898,20
2020,70th Anniversary Grand Prix,1025,20
2020,Spanish Grand Prix,1274,20
2020,Belgian Grand Prix,769,20
2020,Italian Grand Prix,926,20
2020,Tuscan Grand Prix,786,20
2020,Russian Grand Prix,948,20
2020,Eifel Grand Prix,1019,20
2020,Portuguese Grand Prix,1288,20
2020,Emilia Romagna Grand Prix,1131,20
2020,Turkish Grand Prix,1077,20
2020,Bahrain Grand Prix,1019,20
2020,Sakhir Grand Prix,1534,20
2020,Abu Dhabi Grand Prix,1044,20
2021,Pre-Season Test,1044,20
2021,Bahrain Grand Prix,1027,20
2021,Emilia Romagna Grand Prix,1127,20
2021,Portuguese Grand Prix,1245,20
2021,Spanish Grand Prix,1247,20
2021,Monaco Grand Prix,1420,20
2021,Azerbaijan Grand Prix,943,20
2021,French Grand Prix,1051,20
2021,Styrian Grand Prix,1296,20
2021,Austrian Grand Prix,1338,20
2021,British Grand Prix,970,20
2021,Hungarian Grand Prix,985,20
2021,Dutch Grand Prix,1361,20
2021,Italian Grand Prix,892,20
2021,Russian Grand Prix,1025,20
2021,Turkish Grand Prix,1147,20
2021,United States Grand Prix,1044,20
2021,Mexico City Grand Prix,1261,20
2021,São Paulo Grand Prix,1360,20
2021,Qatar Grand Prix,1114,20
2021,Saudi Arabian Grand Prix,845,20
2021,Abu Dhabi Grand Prix,1000,19
2022,Pre-Season Track Session,815,20
2022,Pre-Season Test,992,20
2022,Bahrain Grand Prix,1125,20
2022,Saudi Arabian Grand Prix,820,18
2022,Australian Grand Prix,1045,20
2022,Emilia Romagna Grand Prix,1132,20
2022,Miami Grand Prix,1057,20
2022,Spanish Grand Prix,1230,20
2022,Monaco Grand Prix,1179,20
2022,Azerbaijan Grand Prix,891,20
2022,Canadian Grand Prix,1264,20
2022,British Grand Prix,815,20
2022,Austrian Grand Prix,1324,20
2022,French Grand Prix,958,20
2022,Hungarian Grand Prix,1383,20
2022,Belgian Grand Prix,792,20
2022,Dutch Grand Prix,1392,20
2022,Italian Grand Prix,971,20
2022,Singapore Grand Prix,945,20
2022,Japanese Grand Prix,507,20
2022,United States Grand Prix,992,20
2022,Mexico City Grand Prix,1379,20
2022,São Paulo Grand Prix,1259,20
2022,Abu Dhabi Grand Prix,1117,20
2023,Pre-Season Testing,971,20
2023,Bahrain Grand Prix,1056,20
2023,Saudi Arabian Grand Prix,943,20
2023,Australian Grand Prix,1003,20
2023,Azerbaijan Grand Prix,962,20
2023,Miami Grand Prix,1138,20
2023,Monaco Grand Prix,1515,20
2023,Spanish Grand Prix,1312,20
2023,Canadian Grand Prix,1317,20
2023,Austrian Grand Prix,1354,20
2023,British Grand Prix,971,20
2023,Hungarian Grand Prix,1252,20
2023,Belgian Grand Prix,816,20
2023,Dutch Grand Prix,1343,20
2023,Italian Grand Prix,958,20
2023,Singapore Grand Prix,1088,19
2023,Japanese Grand Prix,880,20
2023,Qatar Grand Prix,1006,19
2023,United States Grand Prix,1014,20
2023,Mexico City Grand Prix,1282,20
2023,São Paulo Grand Prix,1109,20
2023,Las Vegas Grand Prix,946,20
2023,Abu Dhabi Grand Prix,1157,20
2024,Pre-Season Testing,1177,20
2024,Bahrain Grand Prix,1129,20
2024,Saudi Arabian Grand Prix,901,20
2024,Australian Grand Prix,998,19
2024,Japanese Grand Prix,907,20
2024,Chinese Grand Prix,1032,20
2024,Miami Grand Prix,1111,20
2024,Emilia Romagna Grand Prix,1238,20
2024,Monaco Grand Prix,1237,20
2024,Canadian Grand Prix,1272,20
2024,Spanish Grand Prix,1310,20
2024,Austrian Grand Prix,1405,20
2024,British Grand Prix,961,20
2024,Hungarian Grand Prix,1355,20
2024,Belgian Grand Prix,841,20
2024,Dutch Grand Prix,1426,20
2024,Italian Grand Prix,1008,20
2024,Azerbaijan Grand Prix,973,20
2024,Singapore Grand Prix,1177,20
2024,United States Grand Prix,1059,20
2024,Mexico City Grand Prix,1215,20
2024,São Paulo Grand Prix,1135,19
2024,Las Vegas Grand Prix,938,20
2024,Qatar Grand Prix,943,20
2024,Abu Dhabi Grand Prix,1035,20
