Driver,Team,Compound,LapNumber,TrackStatus,TyreLife,Stint,LapTime
VER,Red Bull Racing,MEDIUM,1.0,1,1.0,1.0,87.905
VER,Red Bull Racing,MEDIUM,2.0,1,2.0,1.0,86.163
VER,Red Bull Racing,MEDIUM,3.0,1,3.0,1.0,85.702
VER,Red Bull Racing,MEDIUM,4.0,1,4.0,1.0,86.05
VER,Red Bull Racing,MEDIUM,5.0,1,5.0,1.0,86.176
VER,Red Bull Racing,MEDIUM,6.0,1,6.0,1.0,86.837
VER,Red Bull Racing,MEDIUM,7.0,1,7.0,1.0,86.368
VER,Red Bull Racing,MEDIUM,8.0,1,8.0,1.0,85.99
VER,Red Bull Racing,MEDIUM,9.0,1,9.0,1.0,86.605
VER,Red Bull Racing,MEDIUM,10.0,1,10.0,1.0,86.603
VER,Red Bull Racing,MEDIUM,11.0,1,11.0,1.0,86.643
VER,Red Bull Racing,MEDIUM,12.0,1,12.0,1.0,86.442
VER,Red Bull Racing,MEDIUM,13.0,1,13.0,1.0,86.666
VER,Red Bull Racing,MEDIUM,14.0,1,14.0,1.0,87.028
VER,Red Bull Racing,MEDIUM,15.0,1,15.0,1.0,86.782
VER,Red Bull Racing,MEDIUM,16.0,1,16.0,1.0,86.718
VER,Red Bull Racing,MEDIUM,17.0,1,17.0,1.0,86.733
VER,Red Bull Racing,MEDIUM,18.0,1,18.0,1.0,86.273
VER,Red Bull Racing,MEDIUM,19.0,1,19.0,1.0,86.438
VER,Red Bull Racing,MEDIUM,20.0,1,20.0,1.0,90.849
VER,Red Bull Racing,HARD,22.0,1,2.0,2.0,85.885
VER,Red Bull Racing,HARD,23.0,1,3.0,2.0,86.159
VER,Red Bull Racing,HARD,24.0,1,4.0,2.0,86.327
VER,Red Bull Racing,HARD,25.0,1,5.0,2.0,85.914
VER,Red Bull Racing,HARD,26.0,1,6.0,2.0,85.786
VER,Red Bull Racing,HARD,27.0,1,7.0,2.0,85.501
VER,Red Bull Racing,HARD,28.0,1,8.0,2.0,85.434
VER,Red Bull Racing,HARD,29.0,1,9.0,2.0,85.471
VER,Red Bull Racing,HARD,30.0,1,10.0,2.0,85.398
VER,Red Bull Racing,HARD,31.0,1,11.0,2.0,85.502
VER,Red Bull Racing,HARD,32.0,1,12.0,2.0,85.41
VER,Red Bull Racing,HARD,33.0,1,13.0,2.0,85.24
VER,Red Bull Racing,HARD,34.0,1,14.0,2.0,85.683
VER,Red Bull Racing,HARD,35.0,1,15.0,2.0,85.815
VER,Red Bull Racing,HARD,36.0,1,16.0,2.0,85.598
VER,Red Bull Racing,HARD,37.0,1,17.0,2.0,85.683
VER,Red Bull Racing,HARD,38.0,1,18.0,2.0,85.585
VER,Red Bull Racing,HARD,39.0,1,19.0,2.0,85.486
VER,Red Bull Racing,HARD,40.0,1,20.0,2.0,85.901
VER,Red Bull Racing,HARD,41.0,1,21.0,2.0,85.779
VER,Red Bull Racing,HARD,42.0,1,22.0,2.0,85.912
VER,Red Bull Racing,HARD,43.0,1,23.0,2.0,85.994
VER,Red Bull Racing,HARD,44.0,1,24.0,2.0,85.751
VER,Red Bull Racing,HARD,45.0,1,25.0,2.0,85.916
VER,Red Bull Racing,HARD,46.0,1,26.0,2.0,86.185
VER,Red Bull Racing,HARD,47.0,1,27.0,2.0,86.137
VER,Red Bull Racing,HARD,48.0,1,28.0,2.0,87.235
VER,Red Bull Racing,HARD,49.0,1,29.0,2.0,87.907
VER,Red Bull Racing,HARD,50.0,1,30.0,2.0,88.393
VER,Red Bull Racing,HARD,51.0,1,31.0,2.0,87.525
GAS,Alpine,MEDIUM,2.0,1,2.0,1.0,88.696
GAS,Alpine,MEDIUM,3.0,1,3.0,1.0,87.916
GAS,Alpine,MEDIUM,4.0,1,4.0,1.0,87.472
GAS,Alpine,MEDIUM,5.0,1,5.0,1.0,87.694
